deck	type	power	question	option_1	option_2	option_3	option_4	correct_option (1-4)	correct_text (read-only)	act/chapter	pool (starter/booster)
romeojuliet	ATTACK	1	The first 14 lines of the play are called the:	Prologue	Monologue	Chorus	Epilogue	1	Prologue	Prologue	starter
romeojuliet	ATTACK	1	In what city is the play set?	Rome	London	Mantua	Verona	4	Verona	Prologue	starter
romeojuliet	ATTACK	1	Telling the audience the ending before the play begins is an example of:	Irony	Allusion	Personification	Foreshadowing	4	Foreshadowing	Prologue	booster
romeojuliet	ATTACK	1	Which “fiery” man wants to fight when the servants brawl?	Romeo	Benvolio	Lord Montague	Tybalt	4	Tybalt	Act I	starter
romeojuliet	ATTACK	1	Who asks Juliet's father for permission to marry her?	Romeo	Sampson	Paris	Gregory	3	Paris	Act I	starter
romeojuliet	ATTACK	1	Who tells the story of Queen Mab?	Mercutio	Romeo	Benvolio	Juliet	1	Mercutio	Act I	starter
romeojuliet	ATTACK	1	“She doth teach the torches to burn bright” — this comparison is a:	Simile	Metaphor	Pun	Personification	2	Metaphor	Act I	booster
romeojuliet	ATTACK	1	What advice does Benvolio give Romeo about Rosaline?	To look at other beauties	To write her a letter	To forget love entirely	To ask her father	1	To look at other beauties	Act I	booster
romeojuliet	ATTACK	1	Who agrees to marry Romeo and Juliet?	The Nurse	Prince Escalus	Friar John	Friar Laurence	4	Friar Laurence	Act II	starter
romeojuliet	ATTACK	1	What is one thing Mercutio and Benvolio have in common?	Both are Capulets and cousins to Tybalt's house	Both are related to Prince Escalus by blood	Both are Romeo's friends and neither is a Capulet	Both are in love with Rosaline and say so	3	Both are Romeo's friends and neither is a Capulet	Act II	booster
romeojuliet	ATTACK	1	“The grey-eyed morn smiles on the frowning night” is an example of:	Hyperbole	Pun	Dramatic irony	Personification	4	Personification	Act II	booster
romeojuliet	ATTACK	1	“Arise, fair sun, and kill the envious moon” gives the moon human feeling. This is:	Simile	Pun	Personification	Irony	3	Personification	Act II	booster
romeojuliet	ATTACK	1	What is a key difference between Mercutio and Benvolio?	Benvolio is a Capulet by birth while Mercutio serves the Prince	Mercutio is hot-tempered and mocking; Benvolio is a peacemaker	Mercutio is Juliet's cousin and Benvolio is her mother's brother	Benvolio never appears again once the street brawl is over	2	Mercutio is hot-tempered and mocking; Benvolio is a peacemaker	Act II	booster
romeojuliet	ATTACK	1	Which character kills Mercutio?	Romeo	Paris	Benvolio	Tybalt	4	Tybalt	Act III	starter
romeojuliet	ATTACK	1	What is Romeo's punishment for killing Tybalt?	Banishment from Verona	Death by the Prince’s own order	A heavy fine paid to both houses	Imprisonment until the feud is settled	1	Banishment from Verona	Act III	starter
romeojuliet	ATTACK	1	Who speaks the line “There is no world without Verona's walls”?	Romeo	Juliet	Friar Laurence	Mercutio	1	Romeo	Act III	booster
romeojuliet	ATTACK	1	Why does Lord Capulet tell Paris the family has not discussed the marriage lately?	Tybalt has just been killed	Juliet has been ill for some days	The Prince forbade the match himself	Romeo has been banished from the city	1	Tybalt has just been killed	Act III	booster
romeojuliet	ATTACK	1	Whom does Juliet's father order her to marry?	Tybalt	Paris	Benvolio	Mercutio	2	Paris	Act IV	starter
romeojuliet	ATTACK	1	At the start of Act V, why is Romeo cheerful?	A dream made him expect joyful news	He has been pardoned by the Prince	Juliet has written to him at last	The feud has ended in his absence	1	A dream made him expect joyful news	Act V	starter
romeojuliet	ATTACK	1	From whom does Romeo buy poison?	Friar Laurence	A Capulet servant	A physician in Verona	An apothecary in Mantua	4	An apothecary in Mantua	Act V	starter
romeojuliet	ATTACK	1	Why is the apothecary reluctant to sell Romeo the poison?	Selling it is punishable by death in Mantua	He has none left at all after the plague season	He recognises Romeo as a banished man	Friar Laurence had warned him against it	1	Selling it is punishable by death in Mantua	Act V	booster
romeojuliet	ATTACK	1	“Penury” most nearly means:	Currency	Disease	Penalty	Poverty	4	Poverty	Act V	booster
romeojuliet	ATTACK	2	Which two Capulet servants begin the brawl in Scene i?	Balthasar and Abram	Peter and Gregory	Sampson and Abram	Sampson and Gregory	4	Sampson and Gregory	Act I	starter
romeojuliet	ATTACK	2	What problem does Capulet's servant have with the guest list?	No one lives nearby	He cannot read it	He hates his master	He has lost it	2	He cannot read it	Act I	starter
