deck	id	name	hp	accent	tags	archetype	atk_name	atk_text	atk_cost	atk_dmg	atk_label	atk_extra_json	blk_name	blk_text	blk_cost	blk_block	blk_label	blk_extra_json
romeojuliet	romeo	Romeo Montague	65	#3B5BA5	Montague, Lover	Martyr	But Soft, What Light	He never counts the cost. Costs 20 of your own HP.	3	70	70/3	{"sacrifice":20}	Banished	Exiled from the only wall he had. Negate the attack entirely. Loses 10 HP each time it does.	2		X/2	{"blockType":"negate","selfDamage":10}
romeojuliet	juliet	Juliet Capulet	95	#C4344E	Capulet, Lover	Monument	Boundless as the Sea	I am lost without thy love.  +10 each turn it stays in play.	2	20	20+/2	{"dmgType":"perTurn","base":20,"step":10}	The Vial	Forty-two hours of nothing reaching her. Prevent the next 🔥 Burn.	2	30	30/2	{"immuneNext":["burn"]}
romeojuliet	tybalt	Tybalt	75	#8C1C2B	Capulet, Duellist	Outlaw	King of Cats	Silver tongue, silver blade. Gains 🗡️ Pierce.	2	30	30/2	{"flags":["pierce"]}	Peace? I Hate the Word	Inflict 🪢 Tear on the attacker.	2	30	30/2	{"inflictAtt":"tear"}
romeojuliet	mercutio	Mercutio	60	#D4A017	Kinsman, Wit	Martyr	A Plague on Both Your Houses	The curse costs him everything, and lands on everyone. Costs 20 of your own HP.	4	90	90/4	{"sacrifice":20}	Queen Mab	Discard a random card from hand to resolve.	1	30	30/1	{"selfDiscardHand":1}
romeojuliet	friar	Friar Laurence	125	#4F6D4A	Cleric, Mentor	Mentor	Herbs and Half-Measures	I have something for that ailment. Grant an ally ✨ Highlight.	3	50	50/3	{"grantAlly":"highlight"}	The Plan That Doesn't Arrive	All allies reduce incoming damage by 10 until your next turn.	3	50	50/3	{"teamShield":10}
romeojuliet	nurse	The Nurse	110	#B07A3C	Capulet, Guardian	Elder	Raised Her From a Babe	Peace, child. Heal 20 HP.	2	40	40/2	{"heal":20}	Practical Counsel	Clear 🫆 Smudge and 🩹 Glue.	2	30	30/2	{"blockType":"cleanse","blkCleanse":["smudge","glue"]}
romeojuliet	paris	Count Paris	120	#7A6BA8	Kinsman, Suitor	Sentinel	The Arranged Match	Come at thee, if you dare.	2	50	50/2		Sanctioned by the House	Every door is already open to him. Caps incoming damage at 10.	2		10/2	{"blockType":"capto","cap":10}
romeojuliet	capulets	Lord and Lady Capulet	115	#A3202F	Capulet, House	Force of Nature	The Weight of the House	Thine own can stand not to this house. Inflict 🩹 Glue and 🫆 Smudge.	4	70	70/4	{"inflict":["glue","smudge"]}	Ancient Grudge	🪃 Riposte — while charged, attackers take 20.	3	50	50/3	{"riposte":{"dmg":20,"mode":"hp"}}
romeojuliet	montagues	Lord and Lady Montague	75	#2E4A8C	Montague, House	Steadfast	Answering in Kind	Blood for blood.	2	50	50/2		A Wife Who Did Not Survive It	Clear 🔥 Burn from an ally.	1	30	30/1	{"cleanseAlly":"burn"}
romeojuliet	rosaline	Rosaline	95	#6E5A8C	Capulet, Vow	Gatekeeper	Sworn to Chastity	Innocence is a burden of a chosen few. Remove the target's ✨ Highlight.	2	30	30/2	{"stripPos":"highlight"}	She Will Not Be Hit	The one refusal nobody argues with. Blocks 60 instead against attacks costing 3 or more.	2	50	50/2	{"cond":[{"test":"incomingCostGTE","n":3,"then":{"blockSet":60}}]}
